provinsi,komoditas,golongan_pengeluaran,konsumsi_perkapita_per_minggu,jumlah_penduduk,persentase_kemiskinan,tingkat_pengangguran,akses_pendidikan,fasilitas_kesehatan,akses_air_bersih,kategori_kemiskinan
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999.17,0.013,2873,20.11,3.14,baik,memadai,ya,sedang
Sumatera Selatan,Sawi putih (petsai),750 000- 999 999.17,0.022,3076,26.63,4.6,sedang,memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.17,0.03,1391,11.6,18.85,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),> 1 500 000.17,0.049,4684,15.76,16.47,baik,memadai,tidak,tinggi
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.18,0.008,1207,26.09,14.44,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Sawi putih (petsai),750 000- 999 999.18,0.017,2897,13.14,17.11,baik,memadai,tidak,tinggi
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999.18,0.026,4982,26.78,7.25,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),> 1 500 000.18,0.052,2634,14.08,15.33,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),300 000- 499 999.19,0.005,2854,14.08,13.46,baik,memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.19,0.014,1476,12.73,17.43,buruk,memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),750 000- 999 999.19,0.016,1234,18.67,7.81,buruk,tidak memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),1 000 000- 1 499 999.19,0.025,2968,8.23,15.98,sedang,memadai,tidak,tinggi
Sumatera Utara,Sawi putih (petsai),> 1 500 000.19,0.043,3040,5.92,17.5,baik,memadai,tidak,tinggi
Sumatera Barat,Sawi putih (petsai),300 000- 499 999.20,0.003,1132,27.44,12.33,buruk,memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999.20,0.011,4768,28.22,10.03,sedang,memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.20,0.017,4599,6.9,19.13,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),1 000 000- 1 499 999.20,0.025,3401,18.74,5.87,buruk,memadai,tidak,sedang
Sumatera Barat,Sawi putih (petsai),> 1 500 000.20,0.049,2163,18.49,3.62,sedang,tidak memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),300 000- 499 999,0.017,2515,14.31,6.05,baik,memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999,0.017,3681,19.22,14.62,buruk,tidak memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),750 000- 999 999,0.035,4563,16.45,16.41,buruk,memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999,0.047,3130,17.24,15.19,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),> 1 500 000,0.054,4372,23.88,10.14,buruk,tidak memadai,tidak,sedang
Sumatera Barat,Sawi putih (petsai),300 000- 499 999.1,0.018,1554,18.15,19.45,baik,tidak memadai,tidak,tinggi
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.1,0.026,880,13.09,10.55,buruk,memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.1,0.033,3582,19.54,19.68,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),1 000 000- 1 499 999.1,0.047,2891,21.02,18.61,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),> 1 500 000.1,0.079,2092,21.56,9.92,sedang,tidak memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),300 000- 499 999.2,0.018,4761,20.46,5.74,sedang,memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.2,0.023,3247,21.62,4.53,baik,tidak memadai,ya,sedang
Sumatera Selatan,Sawi putih (petsai),750 000- 999 999.2,0.034,2889,12.75,12.04,sedang,memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999.2,0.047,4053,16.15,15.97,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Sawi putih (petsai),> 1 500 000.2,0.062,3527,21.72,5.99,sedang,memadai,tidak,sedang
Sumatera Selatan,Sawi putih (petsai),300 000- 499 999.3,0.005,1707,23.86,8.41,baik,memadai,tidak,sedang
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999.3,0.027,4353,15.85,13.72,sedang,memadai,ya,sedang
Sumatera Selatan,Sawi putih (petsai),750 000- 999 999.3,0.04,1044,14.13,10.83,baik,tidak memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999.3,0.053,3581,22.9,13.27,sedang,tidak memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),> 1 500 000.3,0.046,4163,10.55,14.5,sedang,memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),200 000- 299 999.4,0.031,2739,5.24,9.47,sedang,tidak memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),300 000- 499 999.4,0.015,2867,16.78,16.36,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),500 000- 749 999.4,0.031,4273,9.33,14.95,sedang,tidak memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.4,0.038,3127,14.46,14.69,baik,tidak memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.4,0.048,4431,12.28,5.54,baik,memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),> 1 500 000.4,0.072,2974,24.43,11.06,baik,memadai,tidak,sedang
Sumatera Barat,Sawi putih (petsai),200 000- 299 999.5,0.021,3630,13.29,12.81,baik,tidak memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),300 000- 499 999.5,0.012,4007,21.02,6.85,buruk,memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.5,0.03,596,21.85,15.9,sedang,memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.5,0.039,4358,16.41,5.06,baik,tidak memadai,ya,sedang
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999.5,0.051,3208,7.03,5.55,baik,tidak memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),> 1 500 000.5,0.053,3836,22.51,10.03,sedang,tidak memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),300 000- 499 999.6,0.028,956,6.88,5.3,baik,memadai,tidak,rendah
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999.6,0.018,4868,7.48,3.2,baik,memadai,tidak,rendah
Sumatera Barat,Sawi putih (petsai),750 000- 999 999.6,0.027,3487,9.9,9.99,buruk,tidak memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),1 000 000- 1 499 999.6,0.026,4588,12.01,14.03,sedang,tidak memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),> 1 500 000.6,0.048,4384,26.16,11.42,sedang,memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),300 000- 499 999.7,0.017,1531,21.87,3.89,baik,tidak memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),500 000- 749 999.7,0.022,707,14.68,6.95,baik,memadai,tidak,rendah
Sumatera Barat,Sawi putih (petsai),750 000- 999 999.7,0.032,2437,29.47,11.91,buruk,tidak memadai,tidak,tinggi
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.7,0.044,1646,11.09,15.55,sedang,tidak memadai,tidak,tinggi
Sumatera Barat,Sawi putih (petsai),> 1 500 000.7,0.064,4799,20.25,16.5,sedang,memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),300 000- 499 999.8,0.02,3064,26.18,11.83,sedang,memadai,tidak,tinggi
Sumatera Selatan,Sawi putih (petsai),500 000- 749 999.8,0.02,942,25.05,13.98,sedang,memadai,tidak,tinggi
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.8,0.03,1332,7.26,18.36,buruk,memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.8,0.036,1961,22.43,4.11,buruk,memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),> 1 500 000.8,0.053,4016,11.45,4.69,sedang,memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),300 000- 499 999.9,0.008,1659,13.89,10.78,sedang,tidak memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.9,0.02,886,17.22,13.37,baik,memadai,ya,sedang
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.9,0.029,2541,24.77,3.08,sedang,memadai,tidak,sedang
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.9,0.034,3053,9.16,10.69,sedang,memadai,tidak,rendah
Sumatera Utara,Sawi putih (petsai),> 1 500 000.9,0.045,2218,7.71,5.94,baik,memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),300 000- 499 999.10,0.017,4550,8.84,13.97,sedang,memadai,ya,rendah
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.10,0.021,3909,10.46,7.55,baik,memadai,ya,rendah
Sumatera Selatan,Sawi putih (petsai),750 000- 999 999.10,0.032,1189,6.49,18.33,sedang,memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),1 000 000- 1 499 999.10,0.046,1669,28.16,4.09,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),> 1 500 000.10,0.081,1452,12.98,16.76,baik,memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),300 000- 499 999.11,0.014,3996,9.42,9.67,sedang,tidak memadai,ya,rendah
Sumatera Utara,Sawi putih (petsai),500 000- 749 999.11,0.021,4417,20.95,17.57,baik,tidak memadai,ya,tinggi
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.11,0.031,2984,24.67,16.86,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.11,0.04,2354,23.83,7.07,sedang,memadai,ya,sedang
Sumatera Barat,Sawi putih (petsai),> 1 500 000.11,0.057,3939,22.97,3.86,baik,memadai,tidak,sedang
Sumatera Barat,Sawi putih (petsai),300 000- 499 999.12,0.006,3731,6.26,14.82,baik,memadai,tidak,rendah
Sumatera Utara,Sawi putih (petsai),500 000- 749 999.12,0.013,3097,24.55,6.47,sedang,memadai,tidak,sedang
Sumatera Utara,Sawi putih (petsai),750 000- 999 999.12,0.027,4483,17.55,18.82,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),1 000 000- 1 499 999.12,0.04,2691,21.23,4.14,sedang,tidak memadai,tidak,sedang
Sumatera Selatan,Sawi putih (petsai),> 1 500 000.12,0.057,3135,28.91,8.51,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi putih (petsai),300 000- 499 999.13,0.021,1156,25.27,3.22,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Sawi putih (petsai),500 000- 749 999.13,0.018,4312,25.63,8.39,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi hijau,750 000- 999 999.13,0.034,3840,9.54,12.2,sedang,tidak memadai,ya,rendah
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.13,0.05,4411,16.91,14.13,sedang,memadai,tidak,sedang
Sumatera Selatan,Sawi hijau,> 1 500 000.13,0.088,2296,28.73,15.35,buruk,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,300 000- 499 999.14,0.016,4863,19.57,17.17,sedang,tidak memadai,tidak,tinggi
Sumatera Barat,Sawi hijau,500 000- 749 999.14,0.016,2262,7.56,4.88,buruk,tidak memadai,ya,rendah
Sumatera Utara,Sawi hijau,750 000- 999 999.14,0.031,4972,23.3,15.95,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.14,0.045,3785,6.07,7.73,sedang,memadai,ya,rendah
Sumatera Barat,Sawi hijau,> 1 500 000.14,0.068,2085,23.56,5.35,sedang,tidak memadai,ya,sedang
Sumatera Selatan,Sawi hijau,300 000- 499 999.15,0.012,4063,26.99,7.52,baik,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,500 000- 749 999.15,0.016,2940,15.63,17.59,baik,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.15,0.027,3600,15.34,13.67,sedang,tidak memadai,ya,sedang
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.15,0.032,3744,12.61,13.16,baik,tidak memadai,ya,rendah
Sumatera Utara,Sawi hijau,> 1 500 000.15,0.045,1540,26.92,12.94,baik,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,300 000- 499 999.16,0.023,3627,18.69,9.95,baik,memadai,ya,sedang
Sumatera Utara,Sawi hijau,500 000- 749 999.16,0.02,2773,19.48,10.09,buruk,memadai,tidak,sedang
Sumatera Selatan,Sawi hijau,750 000- 999 999.16,0.028,4129,21.54,5.52,baik,tidak memadai,tidak,sedang
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.16,0.047,2614,12.51,8.65,baik,tidak memadai,ya,rendah
Sumatera Barat,Sawi hijau,> 1 500 000.16,0.075,2177,15.82,11.7,sedang,memadai,ya,sedang
Sumatera Barat,Sawi hijau,300 000- 499 999.17,0.019,3594,23.54,13.3,sedang,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,500 000- 749 999.17,0.019,1498,29.64,4.22,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,750 000- 999 999.17,0.028,2784,5.86,8.67,buruk,tidak memadai,ya,rendah
Sumatera Barat,Sawi hijau,1 000 000- 1 499 999.17,0.04,2089,6.07,8.77,buruk,memadai,tidak,rendah
Sumatera Barat,Sawi hijau,> 1 500 000.17,0.056,1661,15.7,11.76,buruk,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,500 000- 749 999.18,0.007,3020,21.49,15.07,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.18,0.026,4355,14.66,13.8,sedang,memadai,tidak,rendah
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.18,0.032,1194,29.99,12.71,baik,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,> 1 500 000.18,0.047,4912,9.88,7.95,sedang,tidak memadai,tidak,rendah
Sumatera Selatan,Sawi hijau,300 000- 499 999.19,0.019,4298,5.2,17.26,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi hijau,500 000- 749 999.19,0.014,4183,9.75,16.35,baik,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,750 000- 999 999.19,0.023,2471,27.17,6.12,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.19,0.035,2003,8.63,14.14,baik,memadai,tidak,rendah
Sumatera Barat,Sawi hijau,> 1 500 000.19,0.06,3749,16.97,18.41,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi hijau,300 000- 499 999.20,0.013,4718,15.48,10.41,baik,memadai,ya,sedang
Sumatera Barat,Sawi hijau,500 000- 749 999.20,0.012,3742,21.64,18.72,sedang,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.20,0.024,2368,6.36,3.37,sedang,memadai,ya,rendah
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.20,0.033,2171,21.47,11.78,sedang,tidak memadai,tidak,sedang
Sumatera Barat,Sawi hijau,> 1 500 000.20,0.051,1582,13.87,7.36,baik,memadai,ya,rendah
Sumatera Utara,Sawi hijau,200 000- 299 999,0.081,2228,28.15,7.46,buruk,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,300 000- 499 999,0.035,4351,26.22,17.92,sedang,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,500 000- 749 999,0.038,2642,14.99,8.3,sedang,tidak memadai,ya,rendah
Sumatera Utara,Sawi hijau,750 000- 999 999,0.041,1648,29.82,3.4,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999,0.046,753,6.3,12.17,sedang,memadai,ya,rendah
Sumatera Barat,Sawi hijau,> 1 500 000,0.032,4602,24.72,19.5,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi hijau,150 000- 199 999.1,0.519,4042,15.85,4.34,baik,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,200 000- 299 999.1,0.101,3275,15.83,7.87,sedang,memadai,ya,sedang
Sumatera Utara,Sawi hijau,300 000- 499 999.1,0.068,3833,9.25,10.98,baik,tidak memadai,tidak,rendah
Sumatera Barat,Sawi hijau,500 000- 749 999.1,0.056,4684,17.87,17.12,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.1,0.063,3779,7.12,7.57,sedang,tidak memadai,ya,rendah
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.1,0.066,4808,20.41,8.84,buruk,memadai,tidak,sedang
Sumatera Utara,Sawi hijau,> 1 500 000.1,0.055,3381,11.04,9.54,baik,memadai,tidak,rendah
Sumatera Barat,Sawi hijau,150 000- 199 999.2,0.519,765,23.12,9.45,sedang,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,200 000- 299 999.2,0.097,2840,20.18,6.41,buruk,memadai,tidak,sedang
Sumatera Barat,Sawi hijau,300 000- 499 999.2,0.059,3648,23.66,18.57,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,500 000- 749 999.2,0.049,3859,23.74,16.48,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,750 000- 999 999.2,0.054,1504,9.92,19.59,sedang,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.2,0.057,2594,5.02,9.31,baik,memadai,tidak,rendah
Sumatera Barat,Sawi hijau,> 1 500 000.2,0.039,3771,14.14,3.77,buruk,memadai,tidak,rendah
Sumatera Utara,Sawi hijau,150 000- 199 999.3,0.333,709,27.98,4.96,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,300 000- 499 999.3,0.045,1387,19.45,9.08,baik,memadai,ya,sedang
Sumatera Utara,Sawi hijau,500 000- 749 999.3,0.034,653,23.19,18.49,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.3,0.032,4093,26.99,19.68,baik,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.3,0.027,914,27.65,16.97,buruk,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,> 1 500 000.3,0.026,3924,18.23,7.05,baik,memadai,ya,sedang
Sumatera Utara,Sawi hijau,200 000- 299 999.4,0.04,1784,18.52,14.21,sedang,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,300 000- 499 999.4,0.069,3648,26.27,13.14,baik,tidak memadai,tidak,tinggi
Sumatera Utara,Sawi hijau,500 000- 749 999.4,0.058,1268,25.19,17.0,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,750 000- 999 999.4,0.061,1482,22.47,11.67,buruk,tidak memadai,tidak,sedang
Sumatera Barat,Sawi hijau,1 000 000- 1 499 999.4,0.066,3702,20.11,8.41,baik,tidak memadai,ya,sedang
Sumatera Selatan,Sawi hijau,> 1 500 000.4,0.058,4026,20.43,3.33,baik,tidak memadai,ya,sedang
Sumatera Selatan,Sawi hijau,150 000- 199 999.5,0.333,3287,14.07,16.52,sedang,memadai,tidak,tinggi
Sumatera Barat,Sawi hijau,200 000- 299 999.5,0.027,2710,26.02,12.01,sedang,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,300 000- 499 999.5,0.062,1538,20.44,12.08,sedang,memadai,tidak,sedang
Sumatera Selatan,Sawi hijau,500 000- 749 999.5,0.05,4432,10.59,19.27,buruk,memadai,tidak,tinggi
Sumatera Selatan,Sawi hijau,750 000- 999 999.5,0.049,1041,11.0,11.27,sedang,tidak memadai,ya,rendah
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.5,0.047,858,26.54,8.37,baik,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,> 1 500 000.5,0.035,1349,20.64,8.78,sedang,memadai,ya,sedang
Sumatera Barat,Sawi hijau,200 000- 299 999.6,0.079,3044,14.97,3.2,sedang,memadai,tidak,rendah
Sumatera Barat,Sawi hijau,300 000- 499 999.6,0.03,2331,9.68,5.08,baik,tidak memadai,ya,rendah
Sumatera Barat,Sawi hijau,500 000- 749 999.6,0.044,1972,20.26,3.74,buruk,memadai,ya,sedang
Sumatera Utara,Sawi hijau,750 000- 999 999.6,0.041,1936,9.61,7.14,baik,tidak memadai,tidak,rendah
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.6,0.03,829,16.75,4.1,baik,memadai,tidak,sedang
Sumatera Barat,Sawi hijau,> 1 500 000.6,0.031,4854,21.94,8.63,buruk,tidak memadai,ya,sedang
Sumatera Selatan,Sawi hijau,200 000- 299 999.7,0.02,4738,19.14,5.14,baik,tidak memadai,tidak,sedang
Sumatera Barat,Sawi hijau,300 000- 499 999.7,0.079,4508,28.05,18.6,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Sawi hijau,500 000- 749 999.7,0.063,1888,5.99,18.95,sedang,memadai,tidak,tinggi
Sumatera Utara,Sawi hijau,750 000- 999 999.7,0.064,4685,11.99,13.26,sedang,memadai,tidak,rendah
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.7,0.068,1219,6.43,16.69,baik,memadai,tidak,tinggi
Sumatera Utara,Sawi hijau,> 1 500 000.7,0.058,3735,9.87,14.51,buruk,tidak memadai,ya,rendah
Sumatera Selatan,Sawi hijau,200 000- 299 999.8,0.043,2631,8.1,16.79,baik,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,300 000- 499 999.8,0.065,1600,23.32,13.88,baik,tidak memadai,tidak,sedang
Sumatera Utara,Sawi hijau,500 000- 749 999.8,0.057,1172,14.23,10.31,baik,memadai,ya,rendah
Sumatera Selatan,Sawi hijau,750 000- 999 999.8,0.054,1016,28.13,17.85,baik,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.8,0.05,3032,5.58,10.45,baik,memadai,ya,rendah
Sumatera Utara,Sawi hijau,> 1 500 000.8,0.04,4170,21.32,9.74,sedang,memadai,ya,sedang
Sumatera Barat,Sawi hijau,300 000- 499 999.9,0.04,1281,29.26,13.61,buruk,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,500 000- 749 999.9,0.039,4023,9.4,18.94,buruk,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,750 000- 999 999.9,0.036,4058,16.06,10.52,buruk,memadai,ya,sedang
Sumatera Barat,Sawi hijau,1 000 000- 1 499 999.9,0.039,2886,22.55,12.77,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Sawi hijau,> 1 500 000.9,0.026,2089,20.83,11.37,baik,tidak memadai,ya,sedang
Sumatera Barat,Sawi hijau,200 000- 299 999.10,0.048,2001,19.15,18.47,baik,memadai,tidak,tinggi
Sumatera Barat,Sawi hijau,300 000- 499 999.10,0.058,4294,13.17,14.5,sedang,memadai,ya,rendah
Sumatera Selatan,Sawi hijau,500 000- 749 999.10,0.053,4818,23.2,10.13,sedang,memadai,ya,sedang
Sumatera Barat,Sawi hijau,750 000- 999 999.10,0.059,3580,21.33,13.32,baik,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.10,0.061,1576,9.07,5.65,buruk,memadai,ya,rendah
Sumatera Selatan,Sawi hijau,> 1 500 000.10,0.06,1600,29.1,8.81,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,200 000- 299 999.11,0.035,1002,18.89,15.52,buruk,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,300 000- 499 999.11,0.051,1839,18.14,12.56,baik,memadai,ya,sedang
Sumatera Utara,Sawi hijau,500 000- 749 999.11,0.048,4385,26.21,8.34,baik,memadai,ya,tinggi
Sumatera Barat,Sawi hijau,750 000- 999 999.11,0.049,1123,21.01,9.16,sedang,memadai,ya,sedang
Sumatera Selatan,Sawi hijau,1 000 000- 1 499 999.11,0.051,2386,6.86,16.77,baik,tidak memadai,ya,tinggi
Sumatera Utara,Sawi hijau,> 1 500 000.11,0.037,3850,17.66,12.2,buruk,memadai,tidak,sedang
Sumatera Utara,Sawi hijau,300 000- 499 999.12,0.105,1550,24.51,7.06,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Sawi hijau,500 000- 749 999.12,0.034,4272,22.5,8.05,sedang,tidak memadai,tidak,sedang
Sumatera Barat,Sawi hijau,750 000- 999 999.12,0.034,4416,29.27,10.95,buruk,memadai,ya,tinggi
Sumatera Utara,Sawi hijau,1 000 000- 1 499 999.12,0.032,4518,5.62,15.97,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Sawi hijau,> 1 500 000.12,0.025,1829,11.53,19.96,sedang,memadai,ya,tinggi
Sumatera Selatan,Sawi hijau,200 000- 299 999.13,0.037,4614,18.73,6.16,baik,memadai,ya,sedang
Sumatera Barat,Sawi hijau,300 000- 499 999.13,0.059,3867,20.49,15.83,baik,tidak memadai,ya,tinggi
Sumatera Barat,Sawi hijau,500 000- 749 999.13,0.048,4451,11.86,13.49,baik,tidak memadai,ya,rendah
Sumatera Utara,Buncis,750 000- 999 999.13,0.055,2997,25.67,12.03,baik,memadai,ya,tinggi
Sumatera Utara,Buncis,1 000 000- 1 499 999.13,0.061,2073,9.11,19.43,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Buncis,> 1 500 000.13,0.056,3134,5.02,8.49,baik,memadai,ya,rendah
Sumatera Utara,Buncis,200 000- 299 999.14,0.029,3268,28.81,6.01,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Buncis,300 000- 499 999.14,0.074,1711,14.79,17.92,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Buncis,500 000- 749 999.14,0.043,1275,28.94,4.17,baik,memadai,ya,tinggi
Sumatera Selatan,Buncis,750 000- 999 999.14,0.046,1660,11.95,16.89,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Buncis,1 000 000- 1 499 999.14,0.047,2883,6.59,13.02,sedang,memadai,ya,rendah
Sumatera Utara,Buncis,> 1 500 000.14,0.037,3154,24.31,5.79,sedang,tidak memadai,ya,sedang
Sumatera Selatan,Buncis,300 000- 499 999.15,0.028,4040,25.9,6.87,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Buncis,500 000- 749 999.15,0.029,1595,17.3,5.65,sedang,tidak memadai,tidak,sedang
Sumatera Selatan,Buncis,750 000- 999 999.15,0.039,523,6.85,15.21,buruk,memadai,ya,tinggi
Sumatera Utara,Buncis,1 000 000- 1 499 999.15,0.035,4056,21.35,5.5,sedang,memadai,ya,sedang
Sumatera Barat,Buncis,> 1 500 000.15,0.026,1579,9.55,14.58,sedang,memadai,ya,rendah
Sumatera Selatan,Buncis,300 000- 499 999.16,0.053,4818,26.23,5.18,buruk,memadai,ya,tinggi
Sumatera Selatan,Buncis,500 000- 749 999.16,0.05,678,11.85,16.64,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,Buncis,750 000- 999 999.16,0.052,3347,26.19,18.63,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,Buncis,1 000 000- 1 499 999.16,0.053,2460,15.67,12.51,buruk,memadai,ya,sedang
Sumatera Barat,Buncis,> 1 500 000.16,0.053,1973,19.91,19.43,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Buncis,300 000- 499 999.17,0.043,1712,24.74,9.64,sedang,memadai,ya,sedang
